d,s
2025-09-25,26128.19921875
2025-09-28,26622.880859375
2025-09-29,26855.560546875
2025-10-01,27287.119140625
2025-10-02,27140.919921875
2025-10-05,26957.76953125
2025-10-07,26829.4609375
2025-10-08,26752.58984375
2025-10-09,26290.3203125
2025-10-12,25889.48046875
2025-10-13,25441.349609375
2025-10-14,25910.599609375
2025-10-15,25888.509765625
2025-10-16,25247.099609375
2025-10-19,25858.830078125
2025-10-20,26027.55078125
2025-10-21,25781.76953125
2025-10-22,25967.98046875
2025-10-23,26160.150390625
2025-10-26,26433.69921875
2025-10-27,26346.140625
2025-10-29,26282.689453125
2025-10-30,25906.650390625
2025-11-02,26158.359375
2025-11-03,25952.400390625
2025-11-04,25935.41015625
2025-11-05,26485.900390625
2025-11-06,26241.830078125
2025-11-09,26649.060546875
2025-11-10,26696.41015625
2025-11-11,26922.73046875
2025-11-12,27073.029296875
2025-11-13,26572.4609375
2025-11-16,26384.279296875
2025-11-17,25930.029296875
2025-11-18,25830.650390625
2025-11-19,25835.5703125
2025-11-20,25220.01953125
2025-11-23,25716.5
2025-11-24,25894.55078125
2025-11-25,25928.080078125
2025-11-26,25945.9296875
2025-11-27,25858.890625
2025-11-30,26033.259765625
2025-12-01,26095.05078125
2025-12-02,25760.73046875
2025-12-03,25935.900390625
2025-12-04,26085.080078125
2025-12-07,25765.359375
2025-12-08,25434.23046875
2025-12-09,25540.779296875
2025-12-10,25530.509765625
2025-12-11,25976.7890625
2025-12-14,25628.880859375
2025-12-15,25235.41015625
2025-12-16,25468.779296875
2025-12-17,25498.130859375
2025-12-18,25690.529296875
2025-12-21,25801.76953125
2025-12-22,25774.140625
2025-12-23,25818.9296875
2025-12-28,25635.23046875
2025-12-29,25854.599609375
2025-12-30,25630.5390625
2026-01-01,26338.470703125
2026-01-04,26347.240234375
2026-01-05,26710.44921875
2026-01-06,26458.94921875
2026-01-07,26149.310546875
2026-01-08,26231.7890625
2026-01-11,26608.48046875
2026-01-12,26848.470703125
2026-01-13,26999.810546875
2026-01-14,26923.619140625
2026-01-15,26844.9609375
2026-01-18,26563.900390625
2026-01-19,26487.509765625
2026-01-20,26585.060546875
2026-01-21,26629.9609375
2026-01-22,26749.509765625
2026-01-25,26765.51953125
2026-01-26,27126.94921875
2026-01-27,27826.91015625
2026-01-28,27968.08984375
2026-01-29,27387.109375
2026-02-01,26775.5703125
2026-02-02,26834.76953125
2026-02-03,26847.3203125
2026-02-04,26885.240234375
2026-02-05,26559.94921875
2026-02-08,27027.16015625
2026-02-09,27183.150390625
2026-02-10,27266.380859375
2026-02-11,27032.5390625
2026-02-12,26567.119140625
2026-02-15,26705.939453125
2026-02-19,26413.349609375
2026-02-22,27081.91015625
2026-02-23,26590.3203125
2026-02-24,26765.720703125
2026-02-25,26381.01953125
2026-02-26,26630.5390625
2026-03-01,26059.849609375
2026-03-02,25768.080078125
2026-03-03,25249.48046875
2026-03-04,25321.33984375
2026-03-05,25757.2890625
2026-03-08,25408.4609375
2026-03-09,25959.900390625
2026-03-10,25898.759765625
2026-03-11,25716.759765625
2026-03-12,25465.599609375
2026-03-15,25834.01953125
2026-03-16,25868.5390625
2026-03-17,26025.419921875
2026-03-18,25500.580078125
2026-03-19,25277.3203125
2026-03-22,24382.470703125
2026-03-23,25063.7109375
2026-03-24,25335.94921875
2026-03-25,24856.4296875
2026-03-26,24951.880859375
2026-03-29,24750.7890625
2026-03-30,24788.140625
2026-03-31,25294.029296875
2026-04-01,25116.529296875
2026-04-07,25893.01953125
2026-04-08,25752.400390625
2026-04-09,25893.5390625
2026-04-12,25660.849609375
2026-04-13,25872.3203125
2026-04-14,25947.3203125
2026-04-15,26394.259765625
2026-04-16,26160.330078125
2026-04-19,26361.0703125
2026-04-20,26487.48046875
2026-04-21,26163.240234375
2026-04-22,25915.19921875
2026-04-23,25978.0703125
2026-04-26,25925.650390625
2026-04-27,25679.779296875
2026-04-28,26111.83984375
2026-04-29,25776.529296875
2026-05-03,26095.880859375
2026-05-04,25898.609375
2026-05-05,26213.779296875
2026-05-06,26626.279296875
2026-05-07,26393.7109375
2026-05-10,26406.83984375
2026-05-11,26347.91015625
2026-05-12,26388.439453125
2026-05-13,26389.0390625
2026-05-14,25962.73046875
2026-05-17,25675.1796875
2026-05-18,25797.849609375
2026-05-19,25651.119140625
2026-05-20,25386.51953125
2026-05-21,25606.029296875
2026-05-25,25599.44921875
2026-05-26,25328.23046875
2026-05-27,25006.16015625
2026-05-28,25182.390625
2026-05-31,25398.1796875
2026-06-01,26038.3203125
2026-06-02,25633.2109375
2026-06-03,25253.400390625
2026-06-04,24961.94921875
2026-06-07,24657.060546875
2026-06-08,24565.900390625
2026-06-09,24407.9609375
2026-06-10,24249.2890625
2026-06-11,24718.099609375
2026-06-14,24842.669921875
2026-06-15,24493.94921875
2026-06-16,24312.16015625
2026-06-17,23924.810546875
2026-06-21,23768.51953125
2026-06-22,23336.279296875
2026-06-23,23412.1796875
2026-06-24,23076.91015625
2026-06-25,22671.859375
2026-06-28,23026.6796875
2026-06-29,22881.01953125
2026-07-01,23055.029296875
2026-07-02,23350.029296875
2026-07-05,23616.3203125
2026-07-06,23496.890625
2026-07-07,24199.4609375
2026-07-08,24030.1796875
2026-07-09,24175.119140625
2026-07-12,24213.720703125
2026-07-13,24340.73046875
2026-07-14,24681.099609375
2026-07-15,25008.599609375
2026-07-16,24562.240234375
2026-07-19,25143.05078125
2026-07-20,25132.2890625
2026-07-21,24892.66015625
2026-07-22,25210.810546875
2026-07-23,24963.23046875
2026-07-26,25207.1796875
2026-07-27,25310.849609375
2026-07-28,25807.919921875
2026-07-29,25858.880859375
2026-07-30,25884.4296875
2026-08-02,26009.400390625
